"unitid","institution name","year","C2011_A.First or Second Major","C2011_A.CIP Code -  2010 Classification","CipTitle","C2011_A.Award Level code","C2011_A_RV.Grand total","IDX_C"
"114813","Fresno Pacific University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","6","-2"
"114813","Fresno Pacific University","2011","First major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"114813","Fresno Pacific University","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"114813","Fresno Pacific University","2011","Second major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"114859","Fullerton College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","13","-2"
"114859","Fullerton College","2011","First major","'14'","Engineering","Associate's degree","15","-2"
"114859","Fullerton College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","12","-2"
"114859","Fullerton College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","11","-2"
"114859","Fullerton College","2011","First major","'40'","Physical Sciences","Associate's degree","19","-2"
"114938","Gavilan College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","16","-2"
"115001","Glendale Community College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","1","-2"
"115001","Glendale Community College","2011","First major","'40'","Physical Sciences","Associate's degree","1","-2"
"115083","Golden Gate University-San Francisco","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","9","-2"
"115083","Golden Gate University-San Francisco","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","12","-2"
"115126","Golden West College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","1","-2"
"115126","Golden West College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","38","-2"
"115296","Grossmont College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","7","-2"
"115296","Grossmont College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","28","-2"
"115296","Grossmont College","2011","First major","'40'","Physical Sciences","Associate's degree","3","-2"
"115393","Hartnell College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","3","-2"
"115393","Hartnell College","2011","First major","'14'","Engineering","Associate's degree","4","-2"
"115393","Hartnell College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","7","-2"
"115393","Hartnell College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","6","-2"
"115393","Hartnell College","2011","First major","'40'","Physical Sciences","Associate's degree","14","-2"
"115409","Harvey Mudd College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","22","-2"
"115409","Harvey Mudd College","2011","First major","'14'","Engineering","Bachelor's degree","78","-2"
"115409","Harvey Mudd College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","22","-2"
"115409","Harvey Mudd College","2011","First major","'40'","Physical Sciences","Bachelor's degree","34","-2"
"115409","Harvey Mudd College","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"115409","Harvey Mudd College","2011","Second major","'14'","Engineering","Bachelor's degree","0","-2"
"115409","Harvey Mudd College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","3","-2"
"115409","Harvey Mudd College","2011","Second major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"115454","Heald College-Rancho Cordova","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","52","-2"
"115472","Heald College-Fresno","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","32","-2"
"115490","Heald College-San Jose","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","46","-2"
"115490","Heald College-San Jose","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","25","-2"
"115515","Heald College-San Francisco","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","35","-2"
"115533","Heald College-Concord","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","70","-2"
"115533","Heald College-Concord","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","0","-2"
"115728","Holy Names University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"115728","Holy Names University","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"115755","Humboldt State University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","17","-2"
"115755","Humboldt State University","2011","First major","'14'","Engineering","Bachelor's degree","30","-2"
"115755","Humboldt State University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","17","-2"
"115755","Humboldt State University","2011","First major","'40'","Physical Sciences","Bachelor's degree","48","-2"
"115755","Humboldt State University","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","4","-2"
"115861","Imperial Valley College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","11","-2"
"115861","Imperial Valley College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","4","-2"
"115861","Imperial Valley College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","11","-2"
"115861","Imperial Valley College","2011","First major","'40'","Physical Sciences","Associate's degree","3","-2"
"116439","Irvine Valley College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","11","-2"
"116439","Irvine Valley College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","1","-2"
"116439","Irvine Valley College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","11","-2"
"116439","Irvine Valley College","2011","First major","'40'","Physical Sciences","Associate's degree","15","-2"
"116466","ITT Technical Institute-San Diego","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","96","-2"
"116466","ITT Technical Institute-San Diego","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","42","-2"
"116466","ITT Technical Institute-San Diego","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","137","-2"
