"unitid","institution name","year","C2009_A.CIP Code -  2000 Classification","CipTitle","C2009_A.First or Second Major","C2009_A.Award Level code","C2009_A_RV.Grand total","IDX_C"
"110404","California Institute of Technology","2009","'40'","Physical sciences.","First major","Bachelor's degree","63","-2"
"110404","California Institute of Technology","2009","'40'","Physical sciences.","First major","Master's degree","36","-2"
"110404","California Institute of Technology","2009","'40'","Physical sciences.","First major","Doctor's degree (old degree classification)","89","-2"
"110413","California Lutheran University","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","17","-2"
"110413","California Lutheran University","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","25","-2"
"110413","California Lutheran University","2009","'11'","Computer and information sciences and support services.","Second major","Master's degree","4","-2"
"110413","California Lutheran University","2009","'14'","Engineering.","First major","Bachelor's degree","3","-2"
"110413","California Lutheran University","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","8","-2"
"110413","California Lutheran University","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","3","-2"
"110413","California Lutheran University","2009","'40'","Physical sciences.","First major","Bachelor's degree","8","-2"
"110413","California Lutheran University","2009","'40'","Physical sciences.","Second major","Bachelor's degree","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","46","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","15","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'14'","Engineering.","First major","Bachelor's degree","855","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'14'","Engineering.","First major","Master's degree","113","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'14'","Engineering.","Second major","Master's degree","4","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","52","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'27'","Mathematics and statistics.","First major","Master's degree","2","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","3","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'27'","Mathematics and statistics.","Second major","Master's degree","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'40'","Physical sciences.","First major","Bachelor's degree","45","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'40'","Physical sciences.","First major","Master's degree","4","-2"
"110422","California Polytechnic State University-San Luis Obispo","2009","'40'","Physical sciences.","Second major","Bachelor's degree","2","-2"
"110486","California State University-Bakersfield","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","17","-2"
"110486","California State University-Bakersfield","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","27","-2"
"110486","California State University-Bakersfield","2009","'27'","Mathematics and statistics.","First major","Master's degree","4","-2"
"110486","California State University-Bakersfield","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","1","-2"
"110486","California State University-Bakersfield","2009","'40'","Physical sciences.","First major","Bachelor's degree","20","-2"
"110486","California State University-Bakersfield","2009","'40'","Physical sciences.","First major","Master's degree","1","-2"
"110495","California State University-Stanislaus","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","30","-2"
"110495","California State University-Stanislaus","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","17","-2"
"110495","California State University-Stanislaus","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","1","-2"
"110495","California State University-Stanislaus","2009","'40'","Physical sciences.","First major","Bachelor's degree","13","-2"
"110510","California State University-San Bernardino","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","33","-2"
"110510","California State University-San Bernardino","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","19","-2"
"110510","California State University-San Bernardino","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","69","-2"
"110510","California State University-San Bernardino","2009","'27'","Mathematics and statistics.","First major","Master's degree","11","-2"
"110510","California State University-San Bernardino","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","2","-2"
"110510","California State University-San Bernardino","2009","'40'","Physical sciences.","First major","Bachelor's degree","45","-2"
"110510","California State University-San Bernardino","2009","'40'","Physical sciences.","Second major","Bachelor's degree","2","-2"
"110529","California State Polytechnic University-Pomona","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","74","-2"
"110529","California State Polytechnic University-Pomona","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","7","-2"
