"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A.Grand total","IDX_C"
"110486","California State University-Bakersfield","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","3","-2"
"110495","California State University-Stanislaus","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","32","-2"
"110495","California State University-Stanislaus","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","19","-2"
"110495","California State University-Stanislaus","2012","First major","'40'","Physical Sciences","Bachelor's degree","32","-2"
"110495","California State University-Stanislaus","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"110495","California State University-Stanislaus","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110510","California State University-San Bernardino","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","38","-2"
"110510","California State University-San Bernardino","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","10","-2"
"110510","California State University-San Bernardino","2012","First major","'14'","Engineering","Bachelor's degree","7","-2"
"110510","California State University-San Bernardino","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","56","-2"
"110510","California State University-San Bernardino","2012","First major","'27'","Mathematics and Statistics","Master's degree","8","-2"
"110510","California State University-San Bernardino","2012","First major","'40'","Physical Sciences","Bachelor's degree","55","-2"
"110510","California State University-San Bernardino","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"110510","California State University-San Bernardino","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","90","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","14","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'14'","Engineering","Bachelor's degree","644","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'14'","Engineering","Master's degree","47","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","88","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","9","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","58","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'27'","Mathematics and Statistics","Master's degree","13","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'40'","Physical Sciences","Bachelor's degree","50","-2"
"110529","California State Polytechnic University-Pomona","2012","First major","'40'","Physical Sciences","Master's degree","3","-2"
"110529","California State Polytechnic University-Pomona","2012","Second major","'14'","Engineering","Bachelor's degree","1","-2"
"110529","California State Polytechnic University-Pomona","2012","Second major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"110538","California State University-Chico","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","122","-2"
"110538","California State University-Chico","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","17","-2"
"110538","California State University-Chico","2012","First major","'14'","Engineering","Bachelor's degree","199","-2"
"110538","California State University-Chico","2012","First major","'14'","Engineering","Master's degree","12","-2"
"110538","California State University-Chico","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","186","-2"
"110538","California State University-Chico","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","30","-2"
"110538","California State University-Chico","2012","First major","'40'","Physical Sciences","Bachelor's degree","37","-2"
"110538","California State University-Chico","2012","Second major","'14'","Engineering","Bachelor's degree","8","-2"
"110538","California State University-Chico","2012","Second major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","1","-2"
"110538","California State University-Chico","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","7","-2"
"110538","California State University-Chico","2012","Second major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"110547","California State University-Dominguez Hills","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","24","-2"
"110547","California State University-Dominguez Hills","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","4","-2"
"110547","California State University-Dominguez Hills","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","2","-2"
"110547","California State University-Dominguez Hills","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","25","-2"
"110547","California State University-Dominguez Hills","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","22","-2"
"110547","California State University-Dominguez Hills","2012","First major","'40'","Physical Sciences","Bachelor's degree","10","-2"
"110547","California State University-Dominguez Hills","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"110556","California State University-Fresno","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","14","-2"
"110556","California State University-Fresno","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","16","-2"
"110556","California State University-Fresno","2012","First major","'14'","Engineering","Bachelor's degree","127","-2"
"110556","California State University-Fresno","2012","First major","'14'","Engineering","Master's degree","43","-2"
"110556","California State University-Fresno","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","87","-2"
"110556","California State University-Fresno","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","11","-2"
"110556","California State University-Fresno","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","20","-2"
"110556","California State University-Fresno","2012","First major","'27'","Mathematics and Statistics","Master's degree","3","-2"
"110556","California State University-Fresno","2012","First major","'40'","Physical Sciences","Bachelor's degree","62","-2"
"110556","California State University-Fresno","2012","First major","'40'","Physical Sciences","Master's degree","25","-2"
"110556","California State University-Fresno","2012","Second major","'14'","Engineering","Bachelor's degree","1","-2"
"110556","California State University-Fresno","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"110556","California State University-Fresno","2012","Second major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"110565","California State University-Fullerton","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","40","-2"
"110565","California State University-Fullerton","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","73","-2"
"110565","California State University-Fullerton","2012","First major","'14'","Engineering","Bachelor's degree","111","-2"
"110565","California State University-Fullerton","2012","First major","'14'","Engineering","Master's degree","188","-2"
"110565","California State University-Fullerton","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","43","-2"
"110565","California State University-Fullerton","2012","First major","'27'","Mathematics and Statistics","Master's degree","30","-2"
"110565","California State University-Fullerton","2012","First major","'40'","Physical Sciences","Bachelor's degree","40","-2"
"110565","California State University-Fullerton","2012","First major","'40'","Physical Sciences","Master's degree","25","-2"
"110565","California State University-Fullerton","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"110565","California State University-Fullerton","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110574","California State University-East Bay","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","51","-2"
"110574","California State University-East Bay","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","105","-2"
"110574","California State University-East Bay","2012","First major","'14'","Engineering","Bachelor's degree","12","-2"
"110574","California State University-East Bay","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","13","-2"
"110574","California State University-East Bay","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","28","-2"
"110574","California State University-East Bay","2012","First major","'27'","Mathematics and Statistics","Master's degree","67","-2"
"110574","California State University-East Bay","2012","First major","'40'","Physical Sciences","Bachelor's degree","14","-2"
"110574","California State University-East Bay","2012","First major","'40'","Physical Sciences","Master's degree","12","-2"
"110574","California State University-East Bay","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","6","-2"
"110583","California State University-Long Beach","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","44","-2"
"110583","California State University-Long Beach","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","86","-2"
"110583","California State University-Long Beach","2012","First major","'14'","Engineering","Bachelor's degree","305","-2"
"110583","California State University-Long Beach","2012","First major","'14'","Engineering","Master's degree","174","-2"
"110583","California State University-Long Beach","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","62","-2"
"110583","California State University-Long Beach","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","41","-2"
